formula,target
Cu1O16S2Sb6,2.692138
Ag4Fe2S8Si2,2.655924
Fe4Rb2Te6,1.507939
P4Rb8Se18,2.228501
Na6S6,1.834517
Ge1Li2Pb1S4,3.088539
Cl8S2Tl12,2.417034
Na4O12Sn2Te2,2.579238
S4Zn4,3.5001345
Cs1Ge1I3,1.340255
O14Rb3V5,3.210461
Ca6Ga4N8,2.953411
Al1As1,2.153441
F1Tl1,3.106527
Cs2Mo6O18,1.22078
Mn4Se8,1.37716
Ca4Ga4Li4N8,3.246144
In2Mn1Te4,0.989026
Cs4S20Sb4Sn6,2.463774
Cs2H2Hg3I8O1,2.507829
Al2P2,2.689678
Li3O6Sb1Zn2,4.300736
B2Nb2O8,4.115337
Ba12O4Sb8,0.7575940000000001
Ga1Li1Si1,0.623308
P8Se20,2.050843
La4Mn2O12V2,1.627192
Cu2Ge1Hg1S4,0.937127
As4Li4Ni4O16,4.583513
Mn8Se16Si4,2.0742
Cl6Cs2Te1,3.557729
B2C2Li2,1.631329
Cl8Hg4K4O6S2,3.214244
Ga2I8Pd1,2.303506
K2Pt4Se6,1.568099
In6O18Y6,3.285522
Cs4O24Te2W6,3.791901
C8Hg2Mn2N8S8,3.542461
C8Cl4K4N8Pt2,3.983328
Mo4N12Na12,2.672415
As16Ga8K16,1.616427
Cs8O32S16,3.800688
C4Cl12N12S8,3.808764
F18Li3Mn3Ti3,3.136149
Mg1O6Pb2W1,3.363106
Br4Cr2,3.021507
Ag2Ba1Se4Sn1,0.862569
Al2Ca4F14H4O2,8.893557999999999
Ba1Bi2O9Ta2,3.364939
Al6F18,9.874797
La10N2O4S8,2.279717
F6H12O6Sn2Zn1,5.380673
Ba2Br4H4O14,5.7457080000000005
Au8Ba4F48,3.236834
Li16Se16Sn4,2.439552
Cl18Cs6W4,2.108383
F28Sr8Zn6,7.315039
K4O4Zn2,3.515193
Cs2Sb4Se8,1.5627749999999998
Au8F48Hg4,3.433077
C8Cs4N12,5.838137
In4La12S24,1.87253
Al4Se8Sr2,4.004557
Cl12Sb4,4.680362
Na8O8Sn2,3.660999
